P_NUM,FACK,CHN,PN,DESC,UNIT
17,3431,prtlksytxqvmjmsfludffqgroapaduhx,ttctpbcdrcllkdxxctycqtbymdbnabus,ritffcmemgwrykitaiicgxocslvgbfadvcjeoujxddhesogjbrqnxkbwmkxhwfwpusmnhaunervptcweubyulfugewnxhmczmniaycrwhlyliwimubbdognpwkknhyty,bwaeuwovxkxuudhwzhyjydacaftonnhu
18,50089,rprewaugbsokbgvcjjtdbbxknzqkgbjv,iblbeeaoidvxmgmokofatgugqszoneff,bxjzsoarqdguxjllzfelyqdwzgncapjvqznvkqsqmyivlkcxqkubccupoeqnbzpxqukgaczjrylgksgwkmtzzqgogboypzukouovbpwwbulucvcqboyhjsljnexdpezp,hfzysizwtgmlbgejhroekjqdufjhtswv
19,20352,nephoxtjzfgiwqaiwdqttrgnkgdchrvv,lycfwhaucrgiwzpqluoefvinegvffajl,qflknuztrdufskbasrrryolweexrffzwfcyirybzmwebeezclsbanbtlfqahqgdrakooorkvcmtkabvdqrbhbrfsimniiquqtfvcczistdffoxsswbsnsmsngpxdiibm,ddibydszegbmhyyrrdquokvooygdsysm
20,30717,dovctgedjbngbgdnfrthadroltcsivam,anvsvlidpfblqxrobfcywldrtnfateeb,zigmihibdjojfkmkcfiiblmoxawjbycmpdanmpijuhncpyutflfdijsnnmodapiejmmivcnxeyvsqdqsohiiahedqsbzbpbkzefcqwtilukmvxexdhbotmragacrdszm,aezilcbngrqyqyojybdvwxjtiunltfxl
21,39217,bbscnzeivzkxruhnvnokxjcoyycefbbo,zhisalxhdwyypuldypiddfmncwtsafdg,ycxcquvhyoxzcsbnbwcgszvqhwsrjlotzdvkfoceexzesxmqxojikddentyvkdzmfjrzaxagftmdapyilfjrahdjeysjzzcvhcxqmezgqkxspjctesjzvmxsgrugpssd,vyvyudllrdsrhvsfttlnttecicxtysku
22,27006,yqtiqvwfiwcpicwpzmtjxydoruqiwxlv,svuxsfddnydrsxpioznqobjknmfilqpg,rirlyrakhwuzbfhecudyimhqwqvjxmsjajlfrgbrbijayfykvkydnchkmteqvhiyfmcaymtflbftxfxyglhewdevfjkjpnctmqntmzredytmthqwdcokxebnsynzmnpo,nndunabloohzceitmzixvnajquacszrg
23,26128,tlnrdapvctoalfdfatmlddwgoirszoqv,gghxqbjinmwejhxdaekkioitsjwpejhi,kmqyzmgklmhxajxwlqfavandrvyeeiiqxefhqrlgzidedtgktkejacjqdytibfxblgeaoxxmvwrerknszwibnokllelfuqnseddvircpbcnygnvxwlghgstuxhdbydgs,ndsrxfprfnudnqopvvpkrzeocemonfnj
24,18648,qeqkhycnmluotzvsvqqmkxxdamutwveq,ztdhlwazdpxxilblleplmtktzijaytmd,ozdexmrstvzrqmzsaeqxfxlfuyixgzvppzlgsnjibevwvrtrtbacucygkvrudklmdwaylqtgrcpeqggnlpzgpsfuucltdkyzggkudbwijpazyqnaingeaykhlakmakad,zdhhehhuakgdewpecoafbolkijwdyspz
25,4373,ugmhstvwihigqhvnpfyplmbioktdzyrl,emcvllgttmyzvujchhalzevfwcukwpue,saccarxaljgzflfillvndouaolhmnwwaikhrzdlfaawrvqhueoultjzdclzkglkjjccgbldxhjejddcisfrflrjkywlduqusadbjnqppgvwepxbvilvuxqcexyuffhny,wnpunbonxdzfdsubdnnfffzvunchutud
26,18540,czhrkoxryxuwvlbnbskqwajobmifcdxw,svunqdpuxapqykcdxagiwqvtchhcuevs,jupfrnccutamqikkgidkhhdyllxhpqmsesqrymblpczhzzjjwptvvsjqadeiwdrjqaktacarupsfhlanfmtcijslqseberlmalmksqqveuvjmyliuezqjxcplctkkffw,sauwatfromybvwqkvvhwyfqemuiwitwf
27,62024,wawyviyhigsyciufqnxriienksbyvmpr,sanamyhxdndfbclsijixvhshgdknlqrj,lkmpanchqrojlntjllzwektbkecnwmccwinexxsvrnlmlyylckmwhmxnotumugcmasmfqbiikemshfmntwwifjrnbwyjtkvadbjbustvzyhxcjuimmkypzersneyuehb,grnssssxtuhrigimukoyzecoyiqaqfzq
28,11476,ppmyglewwdylwlydncjnfddecllcyoze,qfuovqvqonjoomnvqnfinzlejetatjvr,pxxylxknxllbbmkudsxmuogfgcasskedsyrvgdncopvmrqexkxhvxmckspwhlhymnhbuaeqcnclmrpqdsfozqipaxxmswwaitohdatwhohcdrrhuemglucmcfnifxwvj,hdmlqvobvwzgkvvpyasxyyjxmziylqxs
29,27093,sxuulfysjpszqtuwgsuxhfywdvtjpdvt,idsizkvrktoeiojgefqjyfdofneltbgp,beoatvdejysclhnobvegzamolhtvdgduvfelinelvhxocvicenbpxdpvnalvwyqfkrvhyyrqjmxpbpfcqswegzzkxdufihnxhraxgpbjgdcencorveaeqrpdivnfaiao,qevewecffoeujctxxjokefhipqoqjfzf
30,59038,sizwxohmvzregeacjequvclifvkysmis,sxeyuuqkrjyupurkcbpqxzsqxrodqvad,amwrrsecccygmuqoobcyvxmfzjwnmpioyedfsyiecdinvcbsrkrerhbpbtbdrjfqbcwicowpbswphbtdwxrkyfbhuylbtpbgkeggdpimyhqieaavehbdvufupkisiwpe,aikjnqtvepynstsgqduqssrbyjnzmudd
31,14609,onxobibmxqpuydsoqtuvbhgsplvkwmmk,pxtufmpbwawenihngzlpsyzjlpvoeztm,clhhszssmieimfofxhjzbrxfhcotbntlkkntqgkcnwzupwtqzgeoqvyglelhblhisjrezhiyqpwpvnuhtdauuuuebkqrqporeouqbbipnvpdnjuvbdzroaxtnwrekxim,btdhjvhxljhxynasjaonmsemfkdmmzin
32,20991,glktvzrbgvzgspfckjxhtpqhitqmlnro,xipwgqxiseenlrujgiexeoyqlfxwfmph,tisxsxmviqyrsvykxudhhgnsqfudfrkijnmhucogrvmlklyuhrfpxyxaethgokamlupgtgwiuckrpwyzgrclhuxrhxuyxvmucntssgdeipmizowhqmfiiwuivmhlbtna,zbrwnzxtkzqimdgvzbwzungxfzsoaagr
33,17511,uyisariwjmpqkinanbipdnctnbwzvigt,mwxlrwmbimyjtswzoyzrxyjabmwabfyh,hmigoalxaiipampdwvxprrlymdxefnuyrxvjfcsgnkzoagsmjjksmdtnivqaeccxufpxycnycwzxtmuaznrwiiqaknmtlpurvhuamuvrdfbzfjfpwrehylxbyfdgxivi,aqlyauxkmbivvqumtwiomtxymymnmgpf
34,31528,hhjgauliabkhrqzdrtxaaiszysxmwrrq,erestokztdherhmozmkcoozrrfrzckns,qcyksyssliwhdmwpjkndalxdsxtjtnjlcstfxyzexyyiefjgrqqkpyxhtgmfezinlxtfsvclxfbhamjcilqzexbqpqsnqlixijhvhgxztlxidrwhvqiukwkihugtqlyy,okfetrjrtjrmygyoiynharfinomocpdi
35,40891,kvnoaiznonkoudgvcshqnhdoeyyrdxmi,ncdvceninimdmsytdgdtkgycoxkxxadq,pfhdoitfyjowhpzuanvhvaxibspbstbqbznqpdasmtytkoqlzrcnwayxhvipuozezfeiqkpsmzfzrqeyzztzkkxtekgvdexjrccctppuvpbjbholtyuqsmbnmcwqwmxp,alhbndjbnztpvcbxhvmldiwprbvnmqmk
36,23563,nrllvfzikxumjkksxfoiivldaloxrjoo,dtlqvfplfcnwoluxhfiesqmhxxppnzno,nycykfyiydgjlmncfurgosokccqgvgprdgxkkjvxqgdjucbdanzwjerolcqnkfbpgxpmzhfnnkboxdmhsombsnjiiqdgxiwyrqqecpbfgsookjcnmogtmjtddqlpphss,nbwxyimpuqldxvkjvbwgdxwgmwyjppjg
37,49726,fzxuatjefhthslchizkjicgzwdztgysx,isxlrezwtlwwanlugnpslpaxknuululm,thlaxmvgogrjofxvmazexogstpybmuarbgonxvsgakzjkyvhqwqetahkyguvqcvayepccgtxihckcriajfhmvbkvcyvarwqiecdueumqvbfekeihaoiaucwfawliejzw,xemsdyqscshsiakdeajycqivzxwoiuvq
38,6344,hjfgwmwwwfwedylsivuavykbvuyyxiba,muagdrqeqsubcmxhcpdkrmgdzowldfjs,zcejiojuycvtgycskobyexthlgtklcihghheshziieenstreatuwzqiweattyeuwbgsqceuigvaqvlfhzbyehzylzqpydhgoathydvloxclfgacyquuundxzwiigvnve,zfvtyljbvqqfvdmejlpjkybbwuboppez
39,19547,qsrltvojrkfyrlzyocioqxnlhqlfknxz,fmschulcphgkxiikzuhgwboeibfsuxtz,kbplkmjyvcwspbhafovahuxrsnkruatwzwaqkauasrkbvdoevdbuyteeivqxrapxqwjwmtsfahucaxibjkqntbntlbfhvckrkujpmjdbjynljkusztynnavcftojvsho,sdfgtjvgkumcwpsovlhxjqhmiltoiail
40,32739,rmwdrqxafgrlvufqrffsfyqpyrvusdcw,cavaxvgnqejjkgrmrkzqfgbwohwlmemx,qitxdllmihpfapuvsadrnytjmmlbpfswevbtsvrwqdbdzqzzymwzgiplvishmdyeuabaaukulnjkkucybfwjgtlimunpcqttypodukrlizzsjrhttgeoevzaqgasaxtd,cfjlywvnzhmpohwqgwpbmkmlpjnkvbod
41,13618,fjoqqtxgffxrkrilvewaobtrkvyyxmru,ccqgbxxbknyzdvinsyuiwirqrztuuvog,hxnbboiqiznjxruytjowztuabcomamyspotmqjxtkcvejobewbpdyaluzioevhxoggvbbzpuszqoczyoswfdggnxbqxryvbdldkxhdncnrkqvsyfdalbtytcbogsujso,qyfciuiacamkneihzdgfoxrzosiimiif
42,38376,zldxxybveesshdrmglwxoimtorelmpti,dpvgwvhsabnlpeyzxeckqbgmsyqixswq,lougqfewaxfavkotsybqimhuqzqfgpxycuqnxqdoiefaiugkdgkxmvcirbfeqxjswsbpxqgjjixfflyuyaavshjxcpysmzwaycmapgbcnsuhheiuftnqskovhvayeqzw,qgyrwjafftbpspnvurznzupeeyxgmoam
43,11368,mlioninpqanogtvxvihsxibfvgvfxgxc,sdqwakpalonvesmsnimghtwrkmzfzwbk,bqcleghbvaxqxidmmoxdjnbvqaoywxknbqwqlvidpqruhhmtadfdkzgstdmehopbhxqwfihhpyzwbooxuwzyzfkzbcmjivtyeiroamshbfaqdqfpcypfrgcnrrgoggjc,hlihuenxybekboyyrktoyfeybdlyxuio
44,62615,xtxaffcgevxgcgnfzfsrkzstvibjuekb,uaackbwsagflwxyigqllwfffyrgyzrqs,jhspzhhahamqzfyyqywlxshpojpkbbnrjwagmfiullvuwocgptuxstpzehzrladqocbkdpxgcavgxfbpbqnzuipsgmkkseskzwuskksvggjuwlqucaaerfzfuahyrzdc,qlqjfzrjxtgptutnwfuyevzlyenuhqpq
45,33206,pclwecwfukcnysxdjuqsfsdldremrvnh,ogtkqikdqwqcyohewvdaicajentwjgii,zgsyejkiciptxusnwjcnufdqartkregdjzhcaxjkxojeyftdhizipenrapjmubyayfimenhqtvjcepcriiwvgtxgmmbcnnmnmnnsjjdsqecuosmkzazicevhbqokqmhw,kmzosfupvpbqcqisqorawymtxwwcbrxq
46,2177,tkbzkoluorjyespqnsolbtibesdglyhw,nvpeldazeyktfdyjlcolnpngkncajerk,qtswmzevdscvvlszmbqysviotboszwknlgrmktrmttzyqqtstvwohlimpvlzqvggxgvywzlprmvgnqybzsemluovfqxhcsmnfgcndfwucjomewfnneijlzdocpydkrch,urjmpknuybnzjveyldphqrcpjomxxgkt
47,37825,loxpjpsaqrfrqkszhkxkbsjehigdzzvi,inkqntrwyuxcsdmwywmkirvixwovzsft,mvsxraxoxnkllesewcgsmlljhtlxszhrgjvvitphtlwfsvrgzonqgnbrysnbqnfxsxirezunwfgeokecgxbppofdfqvolzdkcsigawvsksylctxtmgbrtwpxavfxwujd,xgnzyzmqxzohzncwouutsbktuujymxow
48,14310,qccnbwwxdhjtnrnwvbgrevzjhzmhbwcq,diwpowurybljrjcnhyhlovxhdlfsayes,euxcvzznhcqpqubjrfrngdykhnfvtvprltbmtfkxxpbyhpiuzihyvfnrdwmdrzfxhxddgpdpccbuyymqnlapcqmlmttrbkvheymdvilymhoqgvvhnpldjytgzokfukfy,blunjupqoajygndtcixdcyfmocpwcbte
49,34699,tgmkfbdivesobvqmeurwhzrqnnwymeqs,lxnuybqxnvavktmhitflbkozajdznfuk,xagshxylusulqembszadcyvkveyrhqjyjpmeogpksvliokrybqzjytrysabalthqrrvnjrzavqlkgvoqvtkwnqoalxbbfcdhehfxkcvuqyliknpdzlagwcbkgtgokhur,ddllbsremofczhpqxfpusgtloeritatq
50,56175,kaqipdgtqiyjigdprgbjniyuuogtwueu,labvnkkotejjynllyhbdrujbztrrtneh,eqqtjjbxumpwxzthqttlhkrxfzzapgmzhlofgrnhlvezvbbtarhaothcskfbbweafktchrxzahyvggwtlibhuedqeihiibpugitahlezxazwdxcyncnmfsvyewzddeop,ityzjpkslonehvudlfyfjwvwqyjbgyfw
51,20703,klihwipiesnwgegzvvfxthgmcqixhymy,erfedzrasvivvybbcylvlrmufbrrzici,zrqdhqsgjavjfeowjrboohecvktafsdrmuocxroajmetntjfvuqgkxzmgjefvfibyifpftsgmcceqsuokjqucjjxjqpdpkmzrvzveuetcnrlceutelwonobpujpgtnhy,dmorhkafxwjvydedshhheeggbgxktcdm
52,17640,griwwazibxlgobrchgbjqalbkoxmkixd,dknljuzpokvgzhxjdsputeiodsakntas,phjncqdewdcyzmvhjvdvtfxzgqwsntsdgebohqanyvjkuhkfoibtgtgpfgxrrwklhenvslalwqfkocmhdaxauamnjajelpmueszrrxdiyvehmhpizupoulfzynniaclf,emfgodrnqwxemhitoqaphkczqgnjjfeo
53,33590,sjzpfbhckgvxdaqfdnyfvbxhkeibklfk,kvtepridbxeqmceehqnonxigmfdlbcqy,vhoxwbqgrghynqmqmvrnzfazsqgakxdydhuhxayxjuxdzmimduzyjjbuljajehsrxffgeieehhxtieswriiivitqgdhkjuacydiqrmrwyeakxanyafwborymnhgrpojw,aamsilsyzjfxbirldsmziaujknqwfscv
54,32644,ihwftcyhalhtwyppsldqcjufkdrlffjh,kmnyionoupquivmzfdvftsqehcwclqmp,sapzpmibmesklgjikryuugsxvbgjnbfmpmzxmluosacaurcmcpcbfcchzohgmzfqqobrntlfxnpvdrrjnwthkkffgaducufajcevtfjvxwbvpyclvmihenvmcradkudt,rflwxcvzbqbxomtwsyclxkzrwdtznbld
55,41854,iejfmhlzxdfjnxcenexsoltbdfbluqsk,irdjslqkcjzrucmtrbkgcetaxmqvmzzv,zzzbjzochjpndztfawzmbvdtgyknhunhslwctfsfnghavvdwqoadayjihnjxflafmqtfmftulbniqdcgnugncsfxrsjirweohpefcuzzmrbskgqvffvlizesucastvww,jrhzhdsdawtnxtmfmvrykwcforowsnla
56,47692,mfmiydpupnqrvsxbxewyyaxmzrrhkkpd,gdtbuurmxwhyjoezzepltdobkvbqycna,spzqefdqeddlkrjkydvouqetxintqbtukxsuuqsoyxchevywffzjqmpgothctslamcbinifvygfxamrxeuuzpmufvbwoihynsrguokyqnsiwxvcomvrhcdflzsowbevt,aovdxscgpbyadrohohfsulockeklyieh
57,18185,tbussqltmqrcvcwpxhujfeixutvcqiya,yqdkqngzztktxrtmtvoqwefzvroewnoa,pektnlcapdotmscnknfqtiwnykultbyolhqfckxtuxdijfocphwokundhtzwpcalomrjcqnbuohngqzecezhrysciobfmzhtyzoifnkeqagyagriaptogwppykovweeu,songrrwbrpcoxvieyucftkyjxgwwnker
58,1491,whygsckvizuuwvdrdcffpevybrbhnzbo,rtvvcyfxefnttydsqusecdiejawurbqt,ycpqcfptzypfndqalxamfreubyadvyirgbtrjardmsgylntkpeqzsidmoyxgmyeojqzfygybwheakatltyrmyjvtqhgdzindiegamyeuoptjhgptwpomiuetreudhyju,yctxevpppunnacgtpabilheedvgljcay
59,33014,cqtbykyuexmagoybgfqqudsnvhrtrzqp,drxgtusdclpxxdvxfxscwgowotteyudp,rrnontkeujjjudluzjxzntbqjwcvnvchqbnkwxcgdctdyimeufeiukeuxermzoylropqrtanvfftwsbjmbmzwpmkhfrwgdlyypqrccsuqkvoyjlrktwrlxlctotjdjih,pcbarwckbamlztadbqfndicpblmremro
60,45256,trpfthazykwapadijbamvywvgfazgrek,umtwnwdamjacogiqzwwzznmkexqcbivw,jtlyzqdginqwhfafwpglyllcztrctjnxwhkzxghxoiqtiklbkuszfzachdknpdemympzekklcdsjboqjjbbduqwtcsvkcyxhtrirwxnazvctpznzvkpiyvtiejbekbsw,qcvffxhhtryyrjewznsehtxynqttfdej
61,39381,egheqskwszaltavhesulhzzxzbwpmkda,frhpeohrowfksqhtsiksjtdyxthjushw,afvlxdoajrxxhkfurtkzgirfaygyjrasahkvddutiqbcbcsagqklkfuvmlxzdfcevbxajogkyidwhrgvpwxdigktfdhmedxiaxwfrrvpcjelhsetcsznakhxfoulfkmj,tmvwjsdcvcssmugwvxqljnttteqbbxjy
62,36670,vihwzjilzoedxldqhnlqkrfuppugklbv,ckknndfkpjifazjfmludcemugerxakeh,dkueuqwjheafdormqebutjrwumlnfxguahjipbvgawjuglhnajbmrtjprzzwmqqukfqikxufwezrdrdwscmvvkaetlpjuonmzifwtsrkaauzgzshvkzqfezedlhgqvgc,qthnbhrckwkywrakystiasvrccwusftv
63,61664,tkadhibvltbjnmoabtwdphtmqymgkjlx,arsnpdehshssnhjdqhdmgpalnztyhjsx,zjippyhmcbrdhfvagcwwlcgsqtokrdzrakagfmxljcbxjfltewhyfvdxlgumxcbyehfdqigvmqayjlgyiuclktjwvlehkitletjsiwbbgrclamhtpqiiydyrybsofztn,lxgwyyvzyyjdaanomsfhmryrqrqnsftw
64,62280,jkyfuxdqyugpqmeohmbtbjopfoyzyzph,pnmgwdlqxuymrmhtxrkbxsvjbpyypdnc,jvjvumlgvvzkndzzglnceyycptbudqshhyynvgtddvondsqdmfifiqxpihrugpoepyddprhepusfdveetdnqqraojotieuwkkokfxbjuvkirkfzkturhwasnkxtlsfec,hfcycykdqapoqljgpkzbxclsrpftajvl
65,44029,xsqxaxhhlyyxrxtkyawweuunoesoiojo,awgdvnefenhsfcldcosmhsomhoyszjmo,hcbujgnxttbxktocsjuynxzgdyzlzcguvtsldnzgypyfvsfezrmlhtyusipxqvxxdrprgnjuznzopgcwvognjysiitczmdfntgbohyxwtdbpqyzemeeautisfwotrnwr,ytqqvzcbecjvnesupmhxzedopjnpvumh
66,46418,sdtblzyaxzpcetmfsdmphgtcbukqmlyy,hkeadieukxqljazqizvvjurthwbiuoce,omznnnmnzlogrrhduevebefhwdjwkkrivwwyqljzaiiijqnewktgkrluxtynjxecwaukualgjefigwetihocvfnrjvhlnrrxvdkkbjghjpbgzcbzmcxdnygmecywhhzo,ucrrevpgunkjgcdbmmtwgqoxkvvpghhc
67,20798,vgubaatwkwscrpasklwnxhjqlblespvk,utgyngeyjwvucaaxabkppxdwhlsxokdy,xcoqeqenwljumdhyrecjjxxtyohqarnbukykqrydwexsqwycojstuczadgwkgtfsgpgxeqnlsqilmwwgonzmiyqtjlikminvoyefeesdcwwxzbilscyzedwezamuxsre,dzwjbozzjviarjxjpqlmjbyssbisuzgj
68,10803,klcgatxbznwlstzvykgcpkdqptzfrpyd,weupmcowjbkecqvbeqjbmsgyavbdbbva,orlwwctliipcvxgymrxzqilyahxnglspvfattkmzpydkuakqwjwpyerdyyqzdwwiiijqkaaotwdayqzvigefmhejvobiqpebhjwxsnuwejfxicissbyefsgubzmjxddh,frgiabeimwlietuozuwaluygggrrpnhi
69,26676,abmvlbowfyqopuuqvzgcshrnlpchlong,prcpcbovjqyptfygnlhctpeczaegmter,tgomntpusouxginhmhmhwcenydjrvmbwxssmhpdxeqrxdvptrnekhhvzvtgorzqffjgwfahgbosgcehddtouemgnbkvfjzqzrafejpzgqbluajqvxikdogzhbnyerexb,guewhxxtmwagrlhvvhszuuiwjrqbqbns
70,42226,bjmpdvcxfhbvjkarqzjdnvdxudumpamc,hrchabhuconpxkxgtqjodrrprjcruwfv,vtohksgdzicavibyuqaaozroojhhwcvmdqrmctaetojzszykrmslfwcawdxyxioiidtwdzjkgnydojwzwfsoykbdtbhthrzqxyczkbqkkyzebhfzyoownnunpifzbqxf,tevcmmplozkmudbeugppsiguomyvywjr
