P_NUM,TAGT,FACK,L4AR,L3AR,L2AR,L1AR,H4AR,H3AR,H2AR,H1AR,CHN,PN,DESC,UNIT,MU,MD
11,37997,58815,False,False,False,False,False,False,False,False,adkltdemanwlgewzclcqcdmtrvttezwc,vinjnipioyglktdphwefmexocjoyjiyi,eoexxkfkzlofgfxitnddnwqvuzzaoxxumbjtrrwfzdmshmwfaanalqwbjyinilalydjlwbzzqtdvemrsoioyjuereprphsevluzilsgccmyytxxwsmbswuimeavrkoun,gdwalsmhvsohrtxclmeireqqwbsdaicd,999,0
12,54745,43805,False,False,False,False,False,False,False,False,tjuvqjbylsmpskvxntcflvewqbaxbrsn,edoodzlglosmjhdujlmndljckqqcslod,cnpgsmqrqzwliqurrmnpofpmeoputykzmjlkhpfybceqkonxgsxgzjyywihawdrnajwyucpoekpyckltlhzhnbznruwdxokurkhykpbbfwsjpzvmddqhmpanqjawfudz,auzwoqkzuzpylwthyeautaogxxzzcnnc,999,0
13,51802,45977,False,False,False,False,False,False,False,False,vzgsaqfwidoqjcledtepfpntmacvjyio,ghqlfxbwuskalcxtptmoyhdsagqfgyip,rkykwvsrhecdfudnmcowqdoeblhtggkbnxewoghnjvsxqxttkuuqgrajvwjdiiqwwijulwchpwwvgtbudnwmjzqneqawaxwmygupzeypcigiywzaishwuhdaciadauik,vwsgxhiempodlsggdguvafjwafznubet,999,0
14,38785,60865,False,False,False,False,False,False,False,False,eyfrnoskepqzvrcxjtuthopoogmiqfeo,tyhubshmdszcolxwcnhlnoeyrcyudqcu,hiifrhemlzvfiwngipzlrykirdmhvbdwbamlbbiszkvjmharuxtpnxwhgosyongkuclxxkpkrruznqtyqsnzxbhlcveivldnvuqfvvkcqkhqlyjiogjmneqxrxdedqga,pomeiylgbpyeofdinruloyttchtasvxw,999,0
15,34078,29379,False,False,False,False,False,False,False,False,lqvzlgxaubzfgoozvijnvjbkytydkxck,lxdusckjdhqpzsprohpibjfwuqpxpvzk,msajwpyishmhxbxlbixdklxdajzgnuonkjpkgvgmuyxkihxytlufexkxcrkfbwaxvktpssrjhhhkpffauvkkjpsqciqbqtpbhghnqbaexjxozlvtegwltydldlvfpttl,poaukvtvgavzionjfbekotzvixnazkjv,999,0
16,21633,11431,False,False,False,False,False,False,False,False,muxwolrewzenmkzfkdcwlpyrralumqlf,cmomymnyyzkyvlqpmnktaqrpbuuklpur,udtrmslimqxpnleskpvkdrjlhjpqcddsbsvkamkbqijyqooldrbiuqndrukpanvvzpuhdhfqoyiqhyxjhkkvgmobrvxuwxiegpcgnhdrmpmfsugsqnltcafmevxayljk,swvbhtchunljwvfhfphsixoayjcnzdnu,999,0
17,59194,58081,False,False,False,False,False,False,False,False,pyapaedsokgyxctcdytyvmvpknubsfzj,itjebkjieudzqhyxglhdbjulwheuiysy,fdrhwgeyzktsadgqamjxwxpwylruyvbgqfjmvipyqoezxhervfmtmdujgrorfpezhhekuhkfqncnhnhlvjzqxmolmczkzkksksnbmffpwcjtqzyixejvignlxhjzdidp,yzkrzqpyqkzcudjkrxnwkavjlrxsglkp,999,0
18,19653,13031,False,False,False,False,False,False,False,False,ihokmlrmnqbvfxtpvprvhkshyehkvtyu,fzannlsctshdtwonrfmbkcqzdxbtaxij,qcbzrriiwpkhghkjuphldjsiruynyrryknnsqskrqmjtapevjmobohkuyptzywycmyngiydgcuhaaccypoofvfbpyghjizvqlvmnnppfmlmlwxacnxtlqpzcoskfzmer,eincabefibuinkafggqaranhjsdxskfp,999,0
19,56403,25254,False,False,False,False,False,False,False,False,rxoimqzmszmypjskapvkzlmakqfqdmat,lulpnjcjwdtjcfnqtbvrifnaqxnzkuiz,lydqkviyckikxgeuepfxpqdteduzmpnsyvlofufyhkmpanrpxqypyxfmyylahmsylphvarvcamyjlgcwvletntoodtvpmimuarwisdcbavbipgrusbxonvzlizoeprwd,xtzxvszjjdnxdvqtsqladpkorvcmumuz,999,0
20,40359,14164,False,False,False,False,False,False,False,False,jrleilyeuetijzjopqoabsbuscmpaxdf,wntsrngbwsqshqnglondnbwtrwzusbov,lezgnqosdustbprnboawttxqcfmtcjuzbiwxeqnqczkydhlglgfftyizcdosqvmtbbhefkbsrtknyyrfmtyukugynossbsquvcrnoplnyjymxwlpoqxjchxdovoxgnkv,qngqaikkdibuzjkqbevzaoplttgnbrpz,999,0
21,58486,35037,False,False,False,False,False,False,False,False,qxopecxgcdznuauogddaetihcidtkabb,ezuqblifypfswoptpkjvpuandsgrtutp,tkulxzzwhawvqbyxckdmzmknodhriqbljybmwnymvazidztmtnzmbewqlnrzcpocwwioczcsppbvztuydhgmsltiwcyfsbmbwwrfcmfozinjdqzqdbfzleimegzkrfza,cbmxojhpgrcbyvczataxhbbndqafcids,999,0
22,25543,44809,False,False,False,False,False,False,False,False,xdxivkrtvqlbhyugzulbswhavcwojidd,zicynfhxrqvlwwdncqodrxuiucartcmc,nygouegxzcbaudlytkdcpfgbvhziaiwneolfumndwfhubpxmcymbxnetijzdsxvwllmovfwefqecobrmsotkbqwyjwnqdfnfqrbpzdumrhevgrtwhkfrudoxbaagwqda,jrpcxahmzpunvqhaqoanhnsuxrzblipx,999,0
23,46947,9411,False,False,False,False,False,False,False,False,nftwkbzbzhzvjjuqbfuotvqrkmvbnjhs,iytqnyvdhfobbamlgqmjlusgrxbpdcpo,tsvvsobzigdfgxvstzbtpyniskzqcqgqgqjgyywoihpzguogvqytvojkawylirjmnsdjojzlnqhieshfqfobmktpnsthxpyfmkswelwbbubikjmwithimlgnvhwkmvhm,vhtduvfomwdprmkyqxxauenftqncqusk,999,0
24,39259,50359,False,False,False,False,False,False,False,False,khnkgdlvromjgxwxpufzjwgrgrmdgtwi,yizrxnvysjxzlssexpcaypjjewftjnfv,fozxohzvsegqugjlaqskkoivozvqimcildefbcbokouqktgooskbaovrkhabklgxbycskvcosrpyaztzxgnngxsmeyawxyijpzaonrmwgglbqoqftkjugsnuknzywmzz,bardckigoqherfzhqwqzjmexmrjjgjzo,999,0
25,22541,8217,False,False,False,False,False,False,False,False,rvfofcuzxgnnmjhsbogjwomnnctiybyk,zmgzasghtykrekadgjilxpzayzknovrw,mgbjvsgmvqimdzyltouvxvhhclkhpduqhiqbillahtpixdgksaxxerihhsnesaysavcskcdmgqchmobihzmzyshiyctihmorjwcvrvvpszrydrmywbukwxqldyrrvsmp,mmjewjhihbqdjigqlcldwzglkugvmbdg,999,0
26,40746,59006,False,False,False,False,False,False,False,False,tcyipexkiysknoxycsaztpyhhvnellik,evuotxqxzqosfquaqrowlagaqutbuylt,urztvqyrbbvbksjijfdycvmlqgwfplqqlqthwywrscdcedobgkzydzgbfhjbmfrgcgozsgylmcixedkknzenmawpizhhutubznhpsenkfyvrhezlxpitjftgvgkhfagd,bocvgqfwadszcvtzokagoypwqqtfuzrk,999,0
27,46872,36674,False,False,False,False,False,False,False,False,ndezxnxwapmuzdfothyoxewtlagnifdn,rkbubboziasbutbzdebombyutfhgbcba,wyrdjndzgaossgsphjptghsqivbnsdlqjrqfsbvqewtvisflpjjfyfrzrqvmiyvbmmtsuwtaxtbmmqhvccgbhgvsdhdeeuiloxmaepghmncmmdtcgvchofqfueolxeyw,uybhhtvibuzyxcoxoanlheumhxymmsht,999,0
28,34465,44534,False,False,False,False,False,False,False,False,jttvlssygilrizwwayghqnseznyjrqun,tbifippadjoimglzozwgriutgcqpzhsa,ktdehsypazziyzuiqqhzlqjftmmsszxcoautsmnszjdcwbkgtioyevbnhxdyihnpufjshgkyfuqbnvxabkoskquutjeaflpacrxjzuuooelanpjnlxgzareheafcdblw,aaenygqxlqmajmmiirgrirfzbisoblcg,999,0
29,1776,29066,False,False,False,False,False,False,False,False,hagrwetipstujgrxujdxbopzitcteliy,cskozouthcgnqffikdfmtkuzcfgagpsw,budfxlyswtauumterugpiqthbnqtpguakveelielbqdwkzvioyuxrzjqtvmjacdsrjcsyzhxoatbmfcbgobqpgosgdxgmwyipxanzhnkuxjwtvbuzzdjsuqbrozqquhk,qjkjasixkglcnoukwimoiwxdxihpkhdf,999,0
30,38214,59847,False,False,False,False,False,False,False,False,osqbzuejadaezvpowqvdgdcymmsgnvrp,vipupeybrearkfgnjcbxnptewzecezgv,sbqbcmogdljxjgbvlehpcxqpzlutaoibvpxjvgxvvqjibqolfrbfbpspipiiplkasicjvsnurprntlyhyuczyqvdxtmqkvjrlmleudxinrfbyehkwvegputzgbrmjdzp,ouiwgnlkhyepwyjcteemsojsmqqixbrl,999,0
